ESPN TEAM,Player,Total Points,Injured,Type,Player ID,MLB Team,TrendPoints,TrendAB,TrendAVG,TrendHits,TrendDoubles,TrendTriples,TrendHR,TrendBB,TrendRuns,TrendRBI,TrendSB,TrendHBP,TrendIP,TrendER,TrendERA,TrendWins,TrendSaves,TrendK,TrendHolds,Hits,Doubles,Triples,HR,BB,Runs,RBI,SB,HBP,IP,ER,Wins,Saves,K,QS,Holds
,M Busch,1269,N,hitter,683737.0,CHC,120.0,35.0,0.286,10.0,1.0,0.0,2.0,10.0,11.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,27.0,2.0,20.0,89.0,76.0,77.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,O Albies,1161,N,hitter,645277.0,ATL,73.0,42.0,0.143,6.0,1.0,1.0,1.0,4.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,27.0,1.0,22.0,46.0,85.0,72.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,X Edwards,1072,N,hitter,669364.0,MIA,31.0,18.0,0.222,4.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,17.0,6.0,6.0,68.0,61.0,52.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,O Lopez,1363,N,hitter,672640.0,MIA,125.0,43.0,0.349,15.0,1.0,1.0,1.0,6.0,7.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,32.0,9.0,11.0,38.0,91.0,71.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,C Abrams,1468,N,hitter,682928.0,WSH,92.0,40.0,0.225,9.0,4.0,0.0,1.0,2.0,6.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,30.0,3.0,31.0,54.0,90.0,99.0,33.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,B Nimmo,1107,N,hitter,607043.0,TEX,64.0,43.0,0.209,9.0,3.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,34.0,4.0,14.0,50.0,61.0,61.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,R Acuna Jr,989,N,hitter,660670.0,ATL,133.0,49.0,0.306,15.0,3.0,0.0,4.0,5.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,18.0,1.0,20.0,53.0,60.0,55.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,K Stowers,955,N,hitter,669065.0,MIA,53.0,44.0,0.159,7.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,26.0,4.0,19.0,51.0,53.0,61.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,J Marsee,1114,N,hitter,805300.0,MIA,135.0,40.0,0.425,17.0,2.0,1.0,2.0,5.0,10.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,19.0,6.0,11.0,77.0,81.0,39.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,J Soto,1037,N,hitter,665742.0,NYM,121.0,51.0,0.255,13.0,3.0,0.0,3.0,6.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,11.0,2.0,26.0,73.0,59.0,65.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,J Wood,1451,N,hitter,695578.0,WSH,67.0,39.0,0.231,9.0,1.0,0.0,0.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,30.0,1.0,30.0,99.0,104.0,76.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,K Schwarber,1479,N,hitter,656941.0,PHI,101.0,44.0,0.136,6.0,1.0,0.0,2.0,11.0,7.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,18.0,1.0,45.0,101.0,93.0,95.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,N Hoerner,1135,N,hitter,663538.0,CHC,74.0,45.0,0.267,12.0,2.0,0.0,0.0,1.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,29.0,1.0,8.0,42.0,62.0,71.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,J DeGrom,975,N,pitcher,594798.0,TEX,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,5.0,2.93,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.2,68.0,11.0,0.0,196.0,12.0,0.0
,N Eovaldi,764,N,pitcher,543135.0,TEX,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,2.0,2.35,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.1,64.0,11.0,0.0,141.0,11.0,1.0
,M Gore,840,N,pitcher,669022.0,TEX,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.88,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.2,86.0,8.0,0.0,172.0,9.0,0.0
,T White,234,N,hitter,695720.0,ATH,31.0,27.0,0.185,5.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,5.0,0.0,3.0,5.0,18.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
